# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
93.5500,95.1500,93.1000,42529043,94.2600
93.3000,93.3000,90.2800,33729257,92.3100
96.2420,96.4700,92.4100,34524799,93.1200
95.7436,96.2900,94.6300,22331829,95.3500
95.9100,96.1100,94.0500,31154377,95.0000
96.4400,97.0700,95.3400,23552541,96.1100
96.2200,96.7200,95.5200,21043287,96.4400
95.0000,96.5400,94.8800,26771000,96.0700
94.0700,94.6600,93.4200,20288083,94.1700
94.0500,94.1800,92.4400,23346063,93.0800
92.4300,94.1600,92.4300,26758879,93.5800
92.0100,93.2900,91.4800,24872110,91.8600
92.3900,93.2800,91.6400,26939883,92.8800
91.0400,93.1700,90.6200,31533943,90.7700
91.4900,92.4600,89.4800,38026000,90.2300
92.4350,93.0650,91.4000,29771881,92.3800
87.8500,92.7600,87.7300,35559956,92.3300
89.5750,90.0500,87.8900,37213837,89.7100
90.4700,90.8800,87.5100,48515417,88.5200
90.1800,92.2900,88.4000,45867548,91.2700
89.8200,91.2300,88.8730,52501146,89.3900
94.9400,95.1390,88.5100,53704562,89.4700
90.6100,94.0000,90.4000,55031149,93.7800
89.5000,90.4600,87.0800,42159397,87.1800
91.2650,91.7500,89.6600,37578166,89.7900
92.9300,94.0500,92.2100,23753263,92.4800
93.0500,93.7700,93.0000,21787780,93.1300
93.7400,93.9000,92.1100,31752589,92.8900
94.6800,95.3800,93.9200,47329521,94.6000
93.5300,94.5800,92.8300,26279014,94.1800
95.1200,95.4100,93.5000,31576898,93.8500
97.0000,97.2400,93.9700,34445391,94.4100
96.5000,97.2100,96.0400,25333720,96.7700
95.2900,96.5400,95.0000,36145524,96.5400
94.2700,95.1000,93.7650,24861307,94.4300
93.1600,93.9406,92.4300,26716127,93.8600
94.3400,94.4900,92.9410,22175776,93.3200
92.3400,94.2700,92.2600,23901578,93.6400
91.5800,93.1500,90.8600,32830389,93.0500
93.9900,94.5700,91.8400,37135561,92.8500
94.8400,95.7050,93.6300,29314525,93.7700
95.7400,95.8400,94.2000,25540755,94.2000
94.4000,95.4500,94.2500,29760276,95.4200
92.7500,94.0700,92.3600,25779955,94.0600
92.0500,92.7300,91.3600,22723756,91.7300
92.9800,93.3595,91.4900,26081953,91.4900
91.4750,93.0600,91.0100,30107057,92.7200
92.4500,93.5000,91.8000,30188535,92.0000
91.2100,92.7200,90.6200,27407914,92.6600
88.5100,90.9900,88.4100,34314101,90.8100
88.9300,90.0000,87.8000,26200053,89.8300
88.7350,89.7800,87.9295,35501368,89.1300
86.3000,88.9300,83.8300,57408480,88.1800
89.7100,89.8750,84.7600,47485202,85.0100
90.4900,91.7700,89.2000,40340551,89.6100
86.8900,91.4750,85.2500,66157030,91.3300
